报道时间,省份,城市,新增确诊,新增出院,新增死亡,消息来源,来源链接1,来源链接2,来源链接3,备注
2020年1月23日,江苏,扬州市,1,0,0,江苏卫健委,http://news.sina.com.cn/o/2020-01-23/doc-iihnzahk6033267.shtml,,,
2020年1月23日,甘肃,兰州市,1,0,0,甘肃省卫健委,https://m.thepaper.cn/newsDetail_forward_5611240,,,
2020年1月23日,甘肃,白银市,1,0,0,甘肃省卫健委,https://m.thepaper.cn/newsDetail_forward_5611240,,,
2020年1月23日,越南,,2,0,0,越南卫生部,https://mbd.baidu.com/newspage/data/landingshare?pageType=1&isBdboxFrom=1&context=%7B%22nid%22:%22news_9287826104118479133%22%7D,,,
2020年1月24日,河北,沧州市,1,0,1,河北卫健委,https://static.cdsb.com/micropub/Articles/202001/1eaf97652b9bb791912721850a61a351.html?fromUdid=CAFF13A7-FEAC-4B72-AE2D-497A40CC5C91,,,
2020年1月24日,江西,南昌市,1,0,0,江西卫健委,https://m.weibo.cn/2803301701/4464049040965675,,,
2020年1月24日,江西,吉安市,1,0,0,江西卫健委,https://m.weibo.cn/2803301701/4464049040965675,,,
2020年1月24日,江西,九江市,1,0,0,江西卫健委,https://m.weibo.cn/2803301701/4464049040965675,,,
2020年1月24日,江西,新余市,1,0,0,江西卫健委,https://m.weibo.cn/2803301701/4464049040965675,,,
2020年1月24日,云南,昆明市,1,0,0,昆明卫健委,https://www.thepaper.cn/newsDetail_forward_5615828,,,
2020年1月24日,广西,北海市,3,0,0,广西卫健委,https://wap.peopleapp.com/article/5071617/4966079,,,
2020年1月24日,广西,柳州市,1,0,0,广西卫健委,https://wap.peopleapp.com/article/5071617/4966079,,,
2020年1月24日,广西,桂林市,2,0,0,广西卫健委,https://wap.peopleapp.com/article/5071617/4966079,,,
2020年1月24日,广西,百色市,1,0,0,广西卫健委,https://wap.peopleapp.com/article/5071617/4966079,,,
2020年1月24日,广西,河池市,1,0,0,广西卫健委,https://wap.peopleapp.com/article/5071617/4966079,,,
2020年1月24日,北京,朝阳区,1,0,0,北京市卫健委,http://bj.people.com.cn/n2/2020/0124/c14540-33742349.html,,,
2020年1月24日,北京,丰台区,1,0,0,北京市卫健委,http://bj.people.com.cn/n2/2020/0124/c14540-33742349.html,,,
2020年1月24日,北京,外地来京,1,0,0,北京市卫健委,http://bj.people.com.cn/n2/2020/0124/c14540-33742349.html,,,
2020年1月24日,北京,顺义区,1,0,0,北京市卫健委,http://bj.people.com.cn/n2/2020/0124/c14540-33742349.html,,,
2020年1月24日,天津,,1,0,0,央视新闻,http://www.bjnews.com.cn/news/2020/01/24/678718.html,,,
2020年1月24日,上海,,4,0,0,人民日报,https://news.163.com/20/0124/08/F3L23I9V0001899O.html,,,
2020年1月24日,黑龙江,绥化市,1,0,1,黑龙江卫健委,https://www.thepaper.cn/newsDetail_forward_5621385,,,
2020年1月24日,黑龙江,大庆市,1,0,0,黑龙江卫健委,https://www.thepaper.cn/newsDetail_forward_5621385,,,
2020年1月24日,广东,阳江市,3,0,0,广东卫健委,https://www.thepaper.cn/newsDetail_forward_5621345,,,
2020年1月24日,广东,清远市,1,0,0,广东卫健委,https://www.thepaper.cn/newsDetail_forward_5621345,,,
2020年1月24日,广东,广州市,2,0,0,广东卫健委,https://www.thepaper.cn/newsDetail_forward_5621345,,,
2020年1月24日,广东,珠海市,4,0,0,广东卫健委,https://www.thepaper.cn/newsDetail_forward_5621345,,,
2020年1月24日,广东,佛山市,5,0,0,广东卫健委,https://www.thepaper.cn/newsDetail_forward_5621345,,,
2020年1月24日,广东,韶关市,1,0,0,广东卫健委,https://www.thepaper.cn/newsDetail_forward_5621345,,,
2020年1月24日,广东,惠州市,4,0,0,广东卫健委,https://www.thepaper.cn/newsDetail_forward_5621345,,,
2020年1月24日,广东,中山市,1,0,0,广东卫健委,https://www.thepaper.cn/newsDetail_forward_5621345,,,
2020年1月24日,湖北,荆门市,7,0,0,湖北卫健委,https://m.thepaper.cn/newsDetail_forward_5621399,,,
2020年1月24日,湖北,宜昌市,1,0,1,湖北卫健委,https://m.thepaper.cn/newsDetail_forward_5621399,,,
2020年1月24日,湖北,荆州市,2,0,0,湖北卫健委,https://m.thepaper.cn/newsDetail_forward_5621399,,,
